iter	RMSE
0	16.16428786
1	14.87755212
2	13.75258379
3	12.77216943
4	11.93804003
5	11.22406281
6	10.62222532
7	10.09708821
8	9.66638125
9	9.290640965
10	8.970401438
11	8.707596327
12	8.472783682
13	8.2888471
14	8.120929926
15	7.986378788
16	7.858949909
17	7.754040792
18	7.66018333
19	7.578186441
20	7.5114798
21	7.450455762
22	7.403487797
23	7.354225953
24	7.309380144
25	7.273751203
26	7.236410691
27	7.210668767
28	7.182849286
29	7.157204294
30	7.132880816
31	7.112914173
32	7.092160454
33	7.070343095
34	7.04730816
35	7.024586457
36	7.005141613
37	6.990649891
38	6.974078435
39	6.957015197
40	6.942846524
41	6.93077376
42	6.920439841
43	6.910013255
44	6.899655623
45	6.887150142
46	6.876300444
47	6.867679348
48	6.861436203
49	6.8527835
50	6.84002216
51	6.828796881
52	6.823381755
53	6.817877193
54	6.810563111
55	6.80420144
56	6.797884367
57	6.788404181
58	6.778585045
59	6.771859433
60	6.764687671
61	6.759049564
62	6.751450162
63	6.743144099
64	6.738185115
65	6.729631531
66	6.72484
67	6.720430735
68	6.715434011
69	6.709516885
70	6.706405516
71	6.70261513
72	6.697878538
73	6.692888967
74	6.690615817
75	6.688848442
76	6.683056927
77	6.675731093
78	6.67282122
79	6.669324402
80	6.663815646
81	6.659117417
82	6.652721071
83	6.648311405
84	6.642989296
85	6.640787825
86	6.635177685
87	6.631222031
88	6.626717772
89	6.622173798
90	6.619157329
91	6.616566935
92	6.611860859
93	6.608512452
94	6.603529432
95	6.600018848
96	6.598224579
97	6.595883404
98	6.591915212
99	6.589861358
100	6.587810215
101	6.584856897
102	6.581932734
103	6.577729035
104	6.575538322
105	6.573883334
106	6.569039814
107	6.56651842
108	6.562181982
109	6.560331065
110	6.557007818
111	6.553905079
112	6.551449976
113	6.548516795
114	6.546268644
115	6.544595225
116	6.540465519
117	6.538585648
118	6.536216578
119	6.53398352
120	6.532081942
121	6.529382204
122	6.527714841
123	6.525068248
124	6.523278906
125	6.520936639
126	6.518604865
127	6.516727096
128	6.513157433
129	6.510851035
130	6.50898972
131	6.507027735
132	6.504459714
133	6.500273619
134	6.498266592
135	6.496527797
136	6.493279931
137	6.491461101
138	6.490228532
139	6.487949125
140	6.486739338
141	6.48496722
142	6.481315834
143	6.479635327
144	6.476454396
145	6.473218943
146	6.47239695
147	6.470279132
148	6.46938233
149	6.466591886
150	6.4647284
151	6.462930505
152	6.462032789
153	6.460581302
154	6.457964859
155	6.456894926
