iter	Passed	Remaining
0	29	29153
1	54	27023
2	79	26422
3	104	25968
4	129	25791
5	154	25566
6	177	25190
7	201	24926
8	224	24737
9	249	24709
10	275	24778
11	301	24809
12	325	24736
13	349	24592
14	374	24595
15	398	24525
16	422	24423
17	445	24295
18	469	24224
19	494	24227
20	518	24184
21	543	24166
22	566	24068
23	592	24075
24	615	23997
25	637	23887
26	659	23766
27	683	23726
28	706	23664
29	730	23634
30	754	23595
31	780	23606
32	801	23488
33	824	23417
34	846	23325
35	870	23305
36	892	23226
37	914	23151
38	937	23105
39	963	23117
40	988	23115
41	1027	23429
42	1063	23658
43	1092	23747
44	1117	23707
45	1140	23656
46	1165	23628
47	1189	23591
48	1212	23541
49	1238	23527
50	1261	23469
51	1284	23409
52	1307	23363
53	1331	23326
54	1355	23297
55	1379	23250
56	1401	23192
57	1424	23129
58	1446	23064
59	1466	22967
60	1490	22938
61	1512	22889
62	1535	22835
63	1557	22784
64	1583	22771
65	1608	22767
66	1633	22742
67	1659	22749
68	1684	22724
69	1706	22678
70	1730	22644
71	1754	22610
72	1776	22559
73	1799	22513
74	1820	22457
75	1845	22436
76	1870	22421
77	1892	22372
78	1914	22324
79	1939	22298
80	1962	22262
81	1984	22218
82	2006	22171
83	2031	22151
84	2053	22110
85	2078	22091
86	2104	22087
87	2128	22064
88	2152	22031
89	2177	22018
90	2202	21996
91	2226	21972
92	2248	21933
93	2273	21910
94	2296	21878
95	2322	21867
96	2343	21815
97	2367	21788
98	2389	21747
99	2414	21733
100	2438	21709
101	2463	21686
102	2485	21648
103	2505	21588
104	2530	21566
105	2550	21513
106	2574	21485
107	2598	21458
108	2619	21415
109	2642	21377
110	2667	21366
111	2691	21342
112	2715	21312
113	2740	21301
114	2764	21274
115	2785	21225
116	2807	21184
117	2828	21143
118	2852	21116
119	2874	21077
120	2895	21036
121	2919	21007
122	2941	20970
123	2967	20962
124	2991	20943
125	3016	20923
126	3040	20902
127	3064	20876
128	3085	20833
129	3107	20797
130	3129	20758
131	3153	20739
132	3175	20701
133	3196	20659
134	3219	20628
135	3244	20614
136	3269	20597
137	3294	20578
138	3319	20560
139	3341	20523
140	3363	20491
141	3388	20476
142	3411	20445
143	3434	20414
144	3454	20371
145	3477	20342
146	3498	20301
147	3523	20283
148	3546	20254
149	3567	20216
150	3589	20181
151	3616	20177
152	3643	20168
153	3668	20150
154	3692	20131
155	3717	20110
156	3740	20083
157	3767	20074
158	3796	20083
159	3822	20067
160	3845	20040
161	3865	19996
162	3887	19961
163	3908	19922
164	3931	19893
165	3953	19862
166	3977	19840
167	4002	19821
168	4024	19790
169	4051	19779
170	4073	19750
171	4094	19712
172	4115	19673
173	4138	19644
174	4162	19622
175	4185	19595
176	4207	19562
177	4227	19521
178	4254	19513
179	4278	19491
180	4304	19476
181	4327	19451
182	4351	19428
183	4378	19416
184	4400	19386
185	4422	19353
186	4444	19324
187	4468	19300
188	4490	19270
189	4514	19244
190	4536	19214
191	4557	19179
192	4581	19157
193	4606	19137
194	4630	19113
195	4650	19077
196	4675	19056
197	4700	19037
198	4722	19008
199	4747	18988
200	4769	18958
201	4790	18925
202	4813	18898
203	4835	18869
204	4860	18849
205	4884	18824
206	4908	18802
207	4929	18770
208	4951	18738
209	4972	18705
210	4996	18683
211	5018	18652
212	5040	18624
213	5064	18600
214	5087	18575
215	5109	18547
216	5130	18513
217	5152	18483
218	5176	18461
219	5201	18439
220	5222	18410
221	5251	18402
222	5279	18395
223	5305	18378
224	5330	18361
225	5354	18337
226	5377	18311
227	5400	18285
228	5423	18258
229	5445	18230
230	5468	18204
231	5490	18176
232	5513	18151
233	5539	18133
234	5562	18108
235	5585	18080
236	5605	18045
237	5630	18028
238	5657	18014
239	5679	17983
240	5701	17957
241	5723	17927
242	5744	17896
243	5769	17874
244	5791	17848
245	5815	17823
246	5840	17806
247	5862	17776
248	5883	17745
249	5907	17722
250	5928	17691
251	5950	17661
252	5973	17637
253	5995	17609
254	6017	17581
255	6039	17551
256	6062	17527
257	6087	17506
258	6112	17486
259	6134	17458
260	6157	17433
261	6181	17411
262	6203	17384
263	6226	17359
264	6252	17340
265	6278	17323
266	6303	17306
267	6326	17278
268	6348	17251
269	6373	17231
270	6397	17210
271	6418	17179
272	6441	17153
273	6463	17125
274	6489	17107
275	6512	17082
276	6535	17058
277	6557	17030
278	6581	17008
279	6605	16985
280	6627	16957
281	6650	16933
282	6674	16911
283	6698	16888
284	6724	16869
285	6747	16844
286	6773	16827
287	6796	16801
288	6819	16777
289	6844	16756
290	6866	16728
291	6891	16708
292	6912	16679
293	6935	16654
294	6958	16630
295	6982	16606
296	7005	16583
297	7029	16558
298	7050	16530
299	7072	16501
300	7092	16471
301	7115	16445
302	7137	16419
303	7159	16392
304	7181	16365
305	7204	16340
306	7228	16317
307	7255	16300
308	7279	16279
309	7305	16261
310	7328	16235
311	7351	16211
312	7375	16188
313	7398	16164
314	7423	16142
315	7443	16112
316	7468	16092
317	7490	16065
318	7511	16035
319	7537	16016
320	7559	15989
321	7583	15967
322	7605	15941
323	7629	15919
324	7657	15904
325	7679	15877
326	7701	15850
327	7726	15830
328	7750	15807
329	7771	15779
330	7793	15752
331	7818	15732
332	7841	15707
333	7866	15685
334	7889	15660
335	7914	15640
336	7937	15616
337	7963	15597
338	7988	15576
339	8011	15551
340	8033	15525
341	8055	15497
342	8079	15476
343	8103	15452
344	8127	15430
345	8151	15408
346	8172	15379
347	8195	15355
348	8220	15334
349	8245	15312
350	8271	15293
351	8296	15272
352	8322	15254
353	8344	15227
354	8366	15201
355	8391	15180
356	8414	15156
357	8436	15129
358	8458	15103
359	8481	15077
360	8506	15057
361	8530	15034
362	8555	15012
363	8576	14985
364	8601	14964
365	8624	14940
366	8652	14923
367	8677	14901
368	8698	14874
369	8721	14850
370	8743	14823
371	8765	14798
372	8788	14773
373	8809	14745
374	8833	14722
375	8858	14701
376	8882	14677
377	8903	14651
378	8927	14627
379	8950	14602
380	8972	14577
381	8995	14553
382	9021	14533
383	9045	14510
384	9066	14482
385	9088	14456
386	9112	14434
387	9134	14407
388	9155	14380
389	9177	14355
390	9201	14331
391	9227	14311
392	9255	14294
393	9281	14275
394	9308	14257
395	9330	14231
396	9351	14204
397	9376	14182
398	9400	14160
399	9422	14133
400	9444	14107
401	9470	14088
402	9496	14068
403	9521	14046
404	9545	14023
405	9567	13998
406	9590	13973
407	9614	13950
408	9637	13925
409	9661	13902
410	9683	13876
411	9706	13852
412	9727	13825
413	9749	13800
414	9771	13774
415	9796	13752
416	9821	13730
417	9842	13704
418	9867	13682
419	9887	13654
420	9908	13627
421	9932	13603
422	9955	13579
423	9977	13553
424	9997	13526
425	10022	13504
426	10044	13479
427	10064	13450
428	10088	13428
429	10108	13400
430	10130	13374
431	10152	13348
432	10173	13321
433	10194	13294
434	10218	13271
435	10242	13249
436	10265	13225
437	10287	13200
438	10310	13175
439	10333	13152
440	10356	13127
441	10379	13104
442	10404	13081
443	10426	13056
444	10447	13029
445	10470	13005
446	10495	12984
447	10518	12959
448	10540	12934
449	10562	12910
450	10585	12885
451	10609	12862
452	10632	12838
453	10654	12813
454	10678	12790
455	10702	12767
456	10728	12747
457	10750	12721
458	10771	12695
459	10795	12672
460	10817	12647
461	10841	12624
462	10864	12600
463	10885	12574
464	10907	12549
465	10930	12525
466	10953	12501
467	10974	12474
468	10996	12449
469	11018	12424
470	11040	12400
471	11061	12374
472	11083	12348
473	11104	12322
474	11126	12297
475	11148	12272
476	11169	12246
477	11193	12223
478	11218	12202
479	11245	12183
480	11267	12157
481	11292	12135
482	11317	12113
483	11341	12090
484	11364	12067
485	11388	12045
486	11411	12021
487	11434	11997
488	11458	11973
489	11480	11949
490	11502	11924
491	11524	11899
492	11547	11875
493	11571	11852
494	11596	11830
495	11622	11810
496	11646	11787
497	11668	11762
498	11694	11741
499	11718	11718
500	11739	11693
501	11761	11668
502	11784	11643
503	11806	11619
504	11829	11594
505	11852	11571
506	11877	11549
507	11902	11527
508	11926	11504
509	11951	11482
510	11973	11458
511	11996	11434
512	12021	11412
513	12045	11389
514	12071	11367
515	12093	11343
516	12120	11323
517	12145	11301
518	12168	11277
519	12193	11255
520	12219	11234
521	12246	11213
522	12267	11188
523	12292	11166
524	12315	11142
525	12339	11119
526	12362	11095
527	12385	11072
528	12408	11047
529	12428	11021
530	12450	10996
531	12471	10971
532	12493	10946
533	12517	10923
534	12542	10901
535	12566	10878
536	12587	10853
537	12612	10830
538	12637	10808
539	12658	10782
540	12683	10760
541	12704	10735
542	12728	10712
543	12751	10689
544	12776	10666
545	12798	10642
546	12819	10616
547	12839	10590
548	12864	10568
549	12888	10545
550	12912	10521
551	12936	10499
552	12958	10474
553	12979	10449
554	13003	10426
555	13028	10404
556	13050	10379
557	13073	10355
558	13096	10332
559	13118	10307
560	13139	10282
561	13164	10259
562	13186	10235
563	13212	10214
564	13238	10192
565	13263	10170
566	13285	10146
567	13310	10123
568	13334	10100
569	13357	10076
570	13380	10052
571	13402	10028
572	13424	10003
573	13446	9979
574	13471	9957
575	13494	9933
576	13516	9909
577	13537	9884
578	13560	9860
579	13585	9837
580	13610	9815
581	13635	9793
582	13657	9768
583	13679	9744
584	13701	9719
585	13724	9696
586	13746	9671
587	13768	9647
588	13790	9622
589	13811	9597
590	13834	9573
591	13857	9550
592	13878	9525
593	13902	9502
594	13923	9477
595	13944	9451
596	13969	9429
597	13990	9405
598	14012	9380
599	14035	9356
600	14055	9331
601	14077	9306
602	14099	9282
603	14122	9259
604	14147	9236
605	14173	9214
606	14200	9194
607	14225	9171
608	14248	9148
609	14272	9125
610	14294	9101
611	14319	9078
612	14343	9055
613	14367	9032
614	14392	9009
615	14413	8984
616	14433	8959
617	14456	8935
618	14478	8911
619	14503	8889
620	14526	8865
621	14548	8841
622	14571	8817
623	14593	8793
624	14618	8771
625	14643	8748
626	14667	8725
627	14693	8703
628	14719	8682
629	14740	8657
630	14764	8633
631	14785	8609
632	14806	8584
633	14828	8560
634	14849	8535
635	14870	8510
636	14891	8486
637	14913	8461
638	14935	8437
639	14958	8413
640	14981	8390
641	15002	8365
642	15023	8341
643	15045	8316
644	15064	8291
645	15086	8267
646	15110	8244
